stock_code,stock_name,pe,date
000951,中国重汽,15.088235294117645,20050105
600792,云煤能源,15.091210613598673,20050105
600367,红星发展,15.119047619047619,20050105
600491,龙元建设,15.173913043478263,20050105
600398,海澜之家,15.202702702702702,20050105
000511,烯碳退,15.225806451612902,20050105
600207,安彩高科,15.228043724085941,20050105
600011,华能国际,15.244444444444445,20050105
000806,银河退,15.261904761904763,20050105
600325,华发股份,15.266666666666666,20050105
600512,腾达建设,15.405405405405405,20050105
600477,杭萧钢构,15.450980392156863,20050105
600580,卧龙电驱,15.600000000000001,20050105
600801,华新水泥,15.666666666666666,20050105
600729,重庆百货,15.666666666666666,20050105
600642,申能股份,15.68445475638051,20050105
000677,恒天海龙,15.703703703703704,20050105
600026,中远海能,15.714536825452628,20050105
002010,传化智联,15.719999999999999,20050105
